AC,priority,label-val,between_connectivity,cluster
ATR134,False,0,0,4.0
ATR135,False,1,0,2.0
ATR137,False,0,0,2.0
ATR138,False,0,0,2.0
ATR139,False,1,0,0.0
ATR140,False,0,0,2.0
ATR15,False,0,0,0.0
ATR166,False,1,0,3.0
ATR167,False,1,0,0.0
ATR168,False,1,0,3.0
ATR169,False,0,0,1.0
ATR17,False,1,0,0.0
ATR170,False,0,0,1.0
ATR173,False,1,0,1.0
ATR175,False,1,0,3.0
ATR176,False,1,0,1.0
ATR177,False,0,0,1.0
ATR18,False,0,0,4.0
ATR180,False,0,0,1.0
ATR182,False,0,0,2.0
ATR183,False,1,0,1.0
ATR184,False,0,0,1.0
ATR187,False,1,0,3.0
ATR189,False,0,0,2.0
ATR19,False,1,0,2.0
ATR191,False,1,0,1.0
ATR194,False,0,0,4.0
ATR195,False,1,0,0.0
ATR196,False,1,0,1.0
ATR2,False,0,0,2.0
ATR200A,False,0,0,4.0
ATR201,False,0,0,1.0
ATR203,False,0,0,2.0
ATR204,False,0,0,3.0
ATR205,False,1,0,1.0
ATR207,False,1,0,4.0
ATR209,False,0,0,2.0
ATR223,False,1,0,1.0
ATR224,False,1,0,2.0
ATR227,False,0,0,4.0
ATR229,False,0,0,1.0
ATR23,False,1,0,2.0
ATR230,False,1,0,4.0
ATR232,False,0,0,1.0
ATR233,False,1,0,1.0
ATR234,False,0,0,1.0
ATR236,False,0,0,2.0
ATR238,False,1,0,4.0
ATR239,False,1,0,1.0
ATR240,False,0,0,4.0
ATR242,False,1,0,1.0
ATR245,False,0,0,1.0
ATR246,False,1,0,4.0
ATR247,False,0,0,1.0
ATR249,False,1,0,1.0
ATR250,False,0,0,1.0
ATR251,False,0,0,1.0
ATR252,False,0,0,1.0
ATR253,False,0,0,3.0
ATR254,False,1,0,4.0
ATR255,False,1,0,0.0
ATR256,False,0,0,1.0
ATR257,False,1,0,1.0
ATR258,False,0,0,2.0
ATR261,False,0,0,3.0
ATR263,False,0,0,3.0
ATR269,False,1,0,3.0
ATR27,False,0,0,0.0
ATR270,False,0,0,3.0
ATR271,False,1,0,2.0
ATR272,False,1,0,2.0
ATR277,False,1,0,1.0
ATR28,False,1,0,0.0
ATR29,False,1,0,3.0
ATR296,False,1,0,2.0
ATR3,False,0,0,1.0
ATR30,False,0,0,2.0
ATR307A,False,0,0,3.0
ATR309,False,1,0,3.0
ATR310A,False,1,0,0.0
ATR32,False,1,0,1.0
ATR33,False,1,0,0.0
ATR34,False,1,0,0.0
ATR35,False,1,0,0.0
ATR36,False,1,0,0.0
ATR38,False,0,0,1.0
ATR39,False,1,0,0.0
ATR4,False,1,0,2.0
ATR40,False,1,0,2.0
ATR41,False,0,0,2.0
ATR42,False,0,0,1.0
ATR43,False,1,0,3.0
ATR44,False,0,0,0.0
ATR45,False,1,0,3.0
ATR46,False,0,0,2.0
ATR47,False,1,0,2.0
ATR5,False,1,0,0.0
ATR50,False,1,0,0.0
ATR51,False,1,0,4.0
ATR52,False,1,0,1.0
ATR54,False,0,0,2.0
ATR55,False,1,0,3.0
ATR56,False,1,0,3.0
ATR57,False,1,0,1.0
ATR59,False,1,0,4.0
ATR60,False,1,0,4.0
ATR62,False,1,0,4.0
ATR64,False,1,0,4.0
ATR65,False,1,0,3.0
ATR66,False,1,0,4.0
ATR67,False,0,0,2.0
ATR68,False,1,0,4.0
ATR69,False,0,0,3.0
ATR7,False,0,0,0.0
ATR73,False,1,0,3.0
ATR8,False,1,0,1.0
ATR85,False,0,0,0.0
ATR86,False,0,0,2.0
ATR87,False,0,0,1.0
ATR87A,False,1,0,1.0
ATR88,False,1,0,0.0
ATR9,False,0,0,2.0
ATR90,False,0,0,4.0
ATR92,False,1,0,0.0
ATR94,False,1,0,0.0
ATR95,False,0,0,2.0
ATR96,False,0,0,3.0
ATR97,False,0,0,2.0
ATR98,False,0,0,3.0
ATR99,False,0,0,2.0
BR13,False,0,0,0.0
BR21,False,0,0,3.0
BR22,False,0,0,3.0
BR23,False,1,0,2.0
BR24,False,0,0,3.0
BR25,False,1,0,4.0
BR26,False,1,0,1.0
BR27,False,1,0,4.0
BR28,False,0,0,1.0
BR29,False,1,0,2.0
BR30,False,0,0,3.0
BR31,False,1,0,0.0
BR32,False,0,0,0.0
BR33,False,1,0,1.0
BR34,False,1,0,4.0
BR35,False,0,0,1.0
BR36,False,1,0,4.0
BR38,False,1,0,4.0
BR39,False,0,0,0.0
BR40,False,0,0,4.0
BR50,False,1,0,3.0
BR55,False,0,0,0.0
BR56,False,0,0,4.0
BR57,False,1,0,1.0
BR59,False,1,0,3.0
BR61,False,0,0,0.0
BR64,False,1,0,2.0
BR65,False,0,0,4.0
BR65A,False,0,0,2.0
BR65B,False,0,0,2.0
BR65C,False,0,0,0.0
BR66,False,0,0,0.0
BR66A,False,0,0,0.0
BR66B,False,0,0,0.0
BR67A,False,1,0,0.0
BR68,False,0,0,2.0
BR69,False,1,0,0.0
BR69A,False,1,0,0.0
BR69B,False,0,0,0.0
BR70,False,0,0,3.0
BR71,False,1,0,4.0
BR72,False,1,0,3.0
BR73,False,1,0,4.0
BR74,False,0,0,2.0
BR75,False,0,0,2.0
BR77,False,0,0,4.0
BR79,False,1,0,2.0
BBR15,False,0,0,3.0
BBR26,False,1,0,2.0
BBR27B,False,1,0,0.0
BBR28,False,1,0,3.0
BBR29,False,1,0,2.0
BBR29A,False,0,0,4.0
BBR29B,False,0,0,4.0
BBR3,False,0,0,0.0
BBR32,False,0,0,4.0
BBR5,False,1,0,3.0
BBR6,False,1,0,3.0
BBR7,False,1,0,3.0
BBR8,False,0,0,1.0
BBR9,False,1,0,4.0
BCR10,False,1,0,2.0
BCR101,False,1,0,3.0
BCR102,False,1,0,3.0
BCR103A,False,1,0,3.0
BCR104,False,1,0,0.0
BCR105,False,0,0,3.0
BCR106,False,0,0,3.0
BCR107,False,0,0,3.0
BCR108,False,1,0,4.0
BCR109,False,0,0,4.0
BCR110,False,1,0,1.0
BCR112,False,0,0,1.0
BCR114,False,1,0,0.0
BCR116,False,0,0,2.0
BCR117,False,1,0,2.0
BCR118,False,1,0,2.0
BCR119,False,0,0,4.0
BCR12,False,0,0,1.0
BCR120,False,0,0,4.0
BCR121,False,1,0,0.0
BCR122,False,1,0,0.0
BCR123,False,1,0,0.0
BCR127,False,1,0,2.0
BCR129,False,1,0,2.0
BCR130,False,1,0,4.0
BCR131,False,1,0,4.0
BCR133,False,1,0,2.0
BCR134,False,1,0,2.0
BCR135,False,1,0,2.0
BCR136,False,1,0,2.0
BCR137,False,1,0,4.0
BCR139,False,0,0,2.0
BCR14,False,1,0,0.0
BCR148,False,1,0,3.0
BCR149,False,1,0,1.0
BCR150,False,1,0,1.0
BCR151,False,1,0,4.0
BCR155,False,1,0,1.0
BCR156,False,1,0,4.0
BCR158,False,1,0,1.0
BCR162,False,0,0,4.0
BCR165,False,1,0,2.0
BCR167,False,1,0,4.0
BCR168,False,1,0,2.0
BCR169,False,1,0,1.0
BCR17,False,0,0,4.0
BCR170,False,1,0,0.0
BCR171,False,1,0,4.0
BCR173,False,1,0,1.0
BCR175,False,1,0,3.0
BCR176,False,1,0,4.0
BCR177,False,1,0,3.0
BCR178,False,0,0,4.0
BCR189A,False,0,0,4.0
BCR189B,False,0,0,4.0
BCR19,False,1,0,2.0
BCR190A,False,0,0,2.0
BCR190B,False,1,0,2.0
BCR190C,False,1,0,2.0
BCR190D,False,0,0,4.0
BCR190E,False,0,0,2.0
BCR190F,False,0,0,2.0
BCR191,False,1,0,2.0
BCR191A,False,1,0,3.0
BCR191B,False,1,0,3.0
BCR191C,False,1,0,3.0
BCR192,False,1,0,1.0
BCR192A,False,0,0,3.0
BCR192B,False,0,0,3.0
BCR192D,False,0,0,1.0
BCR193,False,0,0,1.0
BCR193A,False,0,0,2.0
BCR193B,False,0,0,2.0
BCR193C,False,0,0,1.0
BCR194A,False,0,0,4.0
BCR194B,False,0,0,4.0
BCR194C,False,0,0,4.0
BCR194D,False,0,0,4.0
BCR195,False,0,0,4.0
BCR195A,False,0,0,3.0
BCR195B,False,0,0,3.0
BCR196,False,1,0,1.0
BCR196A,False,1,0,1.0
BCR197,False,0,0,2.0
BCR198,False,0,0,3.0
BCR199,False,0,0,3.0
BCR2,False,1,0,2.0
BCR20,False,1,0,4.0
BCR201,False,1,0,4.0
BCR202,False,0,0,3.0
BCR203,False,0,0,3.0
BCR206,False,0,0,2.0
BCR207,False,1,0,3.0
BCR208,False,0,0,2.0
BCR21,False,1,0,1.0
BCR210,False,1,0,4.0
BCR211,False,1,0,2.0
BCR213,False,1,0,0.0
BCR215,False,1,0,0.0
BCR22,False,0,0,0.0
BCR222,False,1,0,0.0
BCR223,False,1,0,3.0
BCR227,False,1,0,4.0
BCR242A,False,1,0,4.0
BCR246,False,1,0,0.0
BCR248,False,1,0,4.0
BCR253,False,1,0,3.0
BCR29,False,1,0,2.0
BCR3,False,1,0,0.0
BCR31,False,1,0,2.0
BCR32,False,0,0,1.0
BCR33,False,0,0,2.0
BCR35,False,0,0,2.0
BCR36,False,1,0,1.0
BCR37,False,0,0,3.0
BCR38,False,1,0,4.0
BCR39,False,1,0,2.0
BCR4,False,0,0,3.0
BCR44,False,1,0,2.0
BCR47,False,1,0,3.0
BCR49,False,0,0,0.0
BCR5,False,0,0,2.0
BCR50,False,1,0,2.0
BCR51,False,1,0,2.0
BCR54,False,1,0,0.0
BCR59,False,1,0,4.0
BCR6,False,1,0,0.0
BCR60,False,1,0,2.0
BCR61,False,1,0,1.0
BCR63,False,1,0,0.0
BCR64,False,1,0,4.0
BCR65,False,0,0,3.0
BCR66,False,1,0,0.0
BCR67,False,1,0,1.0
BCR68,False,1,0,0.0
BCR69,False,1,0,3.0
BCR7,False,1,0,0.0
BCR71,False,0,0,3.0
BCR72,False,0,0,3.0
BCR73,False,1,0,2.0
BCR75,False,0,0,0.0
BCR76,False,1,0,0.0
BCR77,False,1,0,0.0
BCR86,False,0,0,3.0
BCR87,False,0,0,3.0
BCR92,False,0,0,3.0
BCR93,False,0,0,2.0
BCR95,False,0,0,3.0
BCR97A,False,1,0,3.0
BER107,False,1,0,3.0
BER11,False,0,0,4.0
BER113A,False,0,0,1.0
BER114,False,1,0,4.0
BER118,False,0,0,1.0
BER12,False,1,0,1.0
BER124,False,1,0,1.0
BER125,False,0,0,1.0
BER136,False,1,0,0.0
BER146,False,0,0,1.0
BER15,False,0,0,2.0
BER152,False,1,0,2.0
BER156,False,0,0,3.0
BER16,False,1,0,0.0
BER18,False,0,0,2.0
BER19,False,1,0,4.0
BER21,False,1,0,3.0
BER28,False,0,0,1.0
BER3,False,1,0,0.0
BER30,False,0,0,4.0
BER31,False,1,0,3.0
BER34,False,1,0,3.0
BER35,False,1,0,0.0
BER36,False,0,0,0.0
BER39,False,1,0,4.0
BER42,False,0,0,1.0
BER46,False,0,0,3.0
BER5,False,1,0,3.0
BER50,False,0,0,3.0
BER56,False,0,0,3.0
BER63,False,0,0,3.0
BER8,False,0,0,4.0
BFR10,False,0,0,3.0
BFR100,False,0,0,2.0
BFR109,False,1,0,1.0
BFR110,False,0,0,2.0
BFR111,False,0,0,1.0
BFR112,False,0,0,3.0
BFR114,False,1,0,3.0
BFR116,False,1,0,3.0
BFR118,False,0,0,2.0
BFR120,False,1,0,3.0
BFR121,False,0,0,4.0
BFR122,False,1,0,3.0
BFR123,False,1,0,4.0
BFR125,False,0,0,1.0
BFR126,False,1,0,4.0
BFR128,False,0,0,2.0
BFR129,False,0,0,0.0
BFR132,False,1,0,4.0
BFR133,False,0,0,2.0
BFR134,False,1,0,1.0
BFR135,False,0,0,2.0
BFR136,False,0,0,2.0
BFR140,False,1,0,2.0
BFR141,False,0,0,0.0
BFR141A,False,0,0,0.0
BFR141B,False,0,0,0.0
BFR141C,False,0,0,0.0
BFR141D,False,0,0,0.0
BFR142A,False,0,0,2.0
BFR142B,False,0,0,2.0
BFR142C,False,0,0,2.0
BFR142D,False,0,0,2.0
BFR142E,False,0,0,4.0
BFR142F,False,0,0,4.0
BFR144,False,0,0,0.0
BFR147,False,1,0,0.0
BFR149,False,1,0,0.0
BFR15,False,0,0,2.0
BFR151,False,0,0,4.0
BFR152,False,1,0,3.0
BFR153,False,0,0,3.0
BFR154,False,0,0,3.0
BFR16,False,0,0,2.0
BFR160,False,0,0,3.0
BFR161,False,0,0,3.0
BFR162,False,1,0,0.0
BFR163,False,0,0,3.0
BFR17,False,0,0,1.0
BFR172,False,0,0,3.0
BFR173,False,1,0,3.0
BFR175,False,1,0,2.0
BFR177,False,1,0,2.0
BFR178,False,0,0,4.0
BFR179,False,0,0,4.0
BFR180,False,0,0,3.0
BFR181,False,0,0,4.0
BFR182,False,0,0,0.0
BFR183,False,1,0,0.0
BFR185,False,1,0,4.0
BFR188,False,0,0,3.0
BFR189,False,0,0,1.0
BFR190,False,0,0,1.0
BFR191,False,0,0,2.0
BFR192,False,1,0,4.0
BFR193,False,1,0,0.0
BFR194,False,1,0,3.0
BFR197,False,1,0,2.0
BFR2,False,0,0,0.0
BFR202,False,1,0,4.0
BFR204,False,1,0,1.0
BFR207,False,1,0,4.0
BFR208,False,1,0,0.0
BFR21,False,0,0,3.0
BFR211,False,1,0,0.0
BFR212,False,1,0,4.0
BFR213,False,0,0,0.0
BFR217,False,0,0,4.0
BFR218,False,1,0,3.0
BFR22,False,0,0,3.0
BFR24,False,0,0,0.0
BFR25,False,1,0,3.0
BFR26,False,1,0,3.0
BFR32,False,0,0,0.0
BFR33,False,1,0,2.0
BFR34,False,0,0,3.0
BFR35,False,1,0,0.0
BFR38,False,0,0,1.0
BFR40,False,0,0,4.0
BFR42,False,0,0,2.0
BFR43,False,1,0,0.0
BFR45,False,1,0,1.0
BFR46,False,0,0,0.0
BFR47,False,0,0,0.0
BFR49,False,0,0,0.0
BFR5,False,0,0,2.0
BFR53,False,0,0,4.0
BFR54,False,0,0,2.0
BFR56,False,0,0,0.0
BFR57,False,1,0,4.0
BFR58,False,0,0,0.0
BFR59,False,0,0,0.0
BFR6,False,1,0,3.0
BFR60,False,1,0,0.0
BFR61,False,0,0,4.0
BFR83,False,0,0,2.0
BFR9,False,0,0,0.0
BFR93,False,0,0,0.0
BFR96,False,0,0,2.0
BFR99,False,0,0,4.0
BHR1,False,1,0,0.0
BHR10,False,0,0,1.0
BHR101,False,1,0,4.0
BHR103,False,0,0,2.0
BHR115,False,1,0,1.0
BHR119,False,0,0,2.0
BHR12,False,1,0,4.0
BHR122,False,1,0,3.0
BHR124,False,0,0,2.0
BHR125,False,1,0,1.0
BHR126,False,1,0,4.0
BHR128,False,1,0,3.0
BHR13,False,1,0,3.0
BHR130,False,1,0,1.0
BHR131,False,1,0,4.0
BHR132,False,1,0,1.0
BHR134,False,1,0,3.0
BHR135,False,1,0,4.0
BHR136,False,1,0,1.0
BHR145,False,1,0,0.0
BHR148,False,0,0,1.0
BHR149,False,0,0,4.0
BHR151,False,1,0,3.0
BHR152,False,1,0,1.0
BHR153,False,0,0,2.0
BHR154,False,1,0,4.0
BHR162,False,1,0,2.0
BHR163,False,1,0,2.0
BHR164,False,0,0,0.0
BHR165,False,0,0,1.0
BHR166,False,1,0,4.0
BHR167,False,1,0,1.0
BHR168,False,1,0,1.0
BHR168A,False,0,0,3.0
BHR169,False,1,0,4.0
BHR169A,False,1,0,2.0
BHR169C,False,0,0,2.0
BHR169D,False,0,0,2.0
BHR17,False,1,0,0.0
BHR170,False,0,0,4.0
BHR170A,False,1,0,0.0
BHR170C,False,0,0,0.0
BHR171A,False,0,0,3.0
BHR171C,False,0,0,4.0
BHR171F,False,0,0,4.0
BHR172,False,0,0,4.0
BHR172A,False,0,0,4.0
BHR173A,False,0,0,3.0
BHR173B,False,0,0,3.0
BHR174,False,1,0,0.0
BHR175B,False,1,0,1.0
BHR177,False,0,0,0.0
BHR182,False,1,0,2.0
BHR186,False,1,0,0.0
BHR192,False,1,0,0.0
BHR192B,False,0,0,4.0
BHR197A,False,1,0,4.0
BHR198,False,1,0,0.0
BHR199,False,1,0,1.0
BHR20,False,0,0,0.0
BHR21,False,1,0,3.0
BHR216B,False,0,0,3.0
BHR216C,False,0,0,3.0
BHR216D,False,0,0,3.0
BHR216E,False,0,0,3.0
BHR216F,False,0,0,3.0
BHR218,False,1,0,4.0
BHR218A,False,0,0,4.0
BHR22,False,0,0,4.0
BHR221A,False,0,0,2.0
BHR221B,False,0,0,2.0
BHR23,False,1,0,0.0
BHR24,False,1,0,2.0
BHR25,False,1,0,4.0
BHR27A,False,0,0,2.0
BHR28,False,1,0,4.0
BHR31,False,1,0,1.0
BHR32,False,0,0,3.0
BHR33,False,1,0,4.0
BHR34,False,0,0,1.0
BHR35,False,0,0,2.0
BHR36,False,0,0,2.0
BHR37,False,1,0,4.0
BHR38,False,0,0,0.0
BHR39,False,0,0,0.0
BHR4,False,0,0,0.0
BHR40,False,1,0,0.0
BHR44,False,1,0,0.0
BHR45,False,1,0,0.0
BHR46,False,0,0,2.0
BHR47,False,0,0,3.0
BHR48,False,1,0,1.0
BHR49,False,0,0,2.0
BHR5,False,0,0,0.0
BHR50,False,1,0,4.0
BHR51,False,1,0,4.0
BHR52,False,1,0,0.0
BHR53,False,1,0,1.0
BHR55,False,0,0,4.0
BHR57,False,0,0,4.0
BHR6,False,1,0,0.0
BHR60,False,1,0,2.0
BHR61,False,1,0,4.0
BHR62,False,0,0,0.0
BHR63,False,1,0,0.0
BHR8,False,1,0,1.0
BHR89,False,0,0,2.0
BHR9,False,1,0,3.0
BHR90,False,0,0,2.0
BHR91,False,0,0,0.0
BHR94,False,1,0,2.0
BHR95,False,1,0,2.0
BHR97,False,1,0,4.0
BHR98,False,0,0,0.0
BHR99,False,1,0,4.0
BJR103,False,0,0,0.0
BJR108,False,0,0,1.0
BJR110,False,1,0,1.0
BJR112,False,1,0,4.0
BJR114,False,0,0,1.0
BJR116,False,0,0,1.0
BJR121,False,0,0,0.0
BJR124,False,0,0,0.0
BJR126,False,1,0,1.0
BJR127,False,1,0,1.0
BJR128,False,1,0,1.0
BJR131,False,1,0,0.0
BJR139,False,0,0,4.0
BJR140,False,0,0,0.0
BJR145,False,0,0,3.0
BJR146,False,1,0,4.0
BJR149,False,1,0,1.0
BJR150,False,1,0,0.0
BJR153,False,1,0,2.0
BJR154,False,0,0,4.0
BJR155,False,0,0,1.0
BJR156,False,1,0,3.0
BJR16,False,0,0,3.0
BJR164,False,0,0,1.0
BJR168,False,1,0,2.0
BJR169,False,1,0,4.0
BJR2,False,1,0,3.0
BJR23,False,1,0,3.0
BJR27,False,1,0,0.0
BJR32,False,1,0,0.0
BJR33,False,0,0,0.0
BJR38,False,1,0,1.0
BJR43,False,1,0,1.0
BJR53,False,0,0,3.0
BJR71,False,1,0,1.0
BJR73,False,0,0,3.0
BJR74,False,0,0,3.0
BJR90,False,0,0,4.0
BJR91,False,0,0,1.0
BJR95,False,0,0,1.0
BJR97,False,1,0,4.0
BJR98,False,1,0,1.0
BLR1,False,1,0,4.0
BLR10,False,1,0,0.0
BLR13,False,1,0,2.0
BLR15,False,1,0,3.0
BLR16,False,1,0,2.0
BLR19,False,1,0,2.0
BLR22,False,0,0,0.0
BLR5,False,0,0,3.0
BLR8,False,0,0,4.0
BLR9,False,1,0,3.0
BNR15,False,1,0,3.0
BNR16,False,0,0,3.0
BNR17,False,0,0,3.0
BNR18,False,0,0,3.0
BNR19,False,1,0,3.0
BNR20,False,0,0,4.0
BNR21,False,0,0,0.0
BNR22,False,1,0,0.0
BNR23,False,0,0,0.0
BNR24,False,0,0,0.0
BNR25,False,1,0,4.0
BNR26,False,0,0,3.0
BNR27,False,1,0,2.0
BNR28,False,0,0,1.0
BNR29,False,0,0,1.0
BNR30,False,1,0,1.0
BNR31,False,0,0,4.0
BNR46,False,1,0,3.0
BNR55,False,1,0,1.0
BNR63A,False,0,0,2.0
BNR66,False,1,0,2.0
BNR67,False,1,0,1.0
BNR67A,False,0,0,0.0
BOR12,False,0,0,4.0
BOR128,False,1,0,3.0
BOR13,False,0,0,4.0
BOR132,False,1,0,3.0
BOR146A,False,0,0,1.0
BOR154A,False,1,0,1.0
BOR164,False,1,0,1.0
BOR166,False,0,0,1.0
BOR168,False,0,0,4.0
BOR169,False,0,0,1.0
BOR170,False,0,0,4.0
BOR171,False,1,0,1.0
BOR173,False,0,0,2.0
BOR174,False,0,0,1.0
BOR175,False,0,0,4.0
BOR176,False,1,0,1.0
BOR180,False,0,0,1.0
BOR181,False,0,0,1.0
BOR182,False,0,0,2.0
BOR184,False,0,0,0.0
BOR185,False,0,0,0.0
BOR187,False,0,0,1.0
BOR189,False,0,0,1.0
BOR19,False,1,0,1.0
BOR192,False,0,0,1.0
BOR193,False,0,0,1.0
BOR194,False,0,0,1.0
BOR195,False,0,0,1.0
BOR197,False,0,0,1.0
BOR198,False,0,0,4.0
BOR200,False,0,0,1.0
BOR202,False,0,0,4.0
BOR205,False,1,0,2.0
BOR206,False,1,0,3.0
BOR207,False,0,0,2.0
BOR208,False,1,0,3.0
BOR211,False,1,0,0.0
BOR213A,False,1,0,1.0
BOR221A,False,0,0,3.0
BOR221B,False,0,0,3.0
BOR230,False,1,0,3.0
BOR232,False,0,0,3.0
BOR24,False,0,0,1.0
BOR25,False,0,0,1.0
BOR26,False,1,0,2.0
BOR3,False,1,0,4.0
BOR32,False,0,0,4.0
BOR37,False,0,0,1.0
BOR39,False,1,0,1.0
BOR43,False,0,0,0.0
BOR44,False,0,0,0.0
BOR45,False,0,0,4.0
BOR46,False,1,0,4.0
BOR47,False,0,0,1.0
BOR49,False,0,0,0.0
BOR5,False,1,0,2.0
BOR51,False,0,0,4.0
BOR53,False,0,0,4.0
BOR57,False,0,0,3.0
BOR58,False,1,0,3.0
BOR6,False,1,0,2.0
BOR62,False,1,0,3.0
BOR64,False,1,0,3.0
BOR69,False,1,0,3.0
BOR7,False,0,0,1.0
BOR71,False,1,0,3.0
BOR72,False,0,0,3.0
BOR74,False,1,0,3.0
BOR78,False,0,0,4.0
BOR79,False,1,0,2.0
BOR8,False,0,0,2.0
BOR81,False,0,0,4.0
BOR83,False,0,0,2.0
BOR84,False,0,0,1.0
BOR85,False,1,0,2.0
BOR87,False,1,0,2.0
BOR9,False,1,0,1.0
BOR92,False,0,0,0.0
BOR93,False,1,0,4.0
BOR94,False,0,0,4.0
BOR95,False,1,0,4.0
BOR96,False,0,0,4.0
BOR99,False,0,0,2.0
BPR140,False,0,0,0.0
BPR161,False,0,0,1.0
BPR163,False,0,0,1.0
BPR165,False,1,0,4.0
BPR166,False,0,0,1.0
BPR168,False,0,0,1.0
BPR170,False,0,0,1.0
BPR173,False,0,0,1.0
BPR175,False,0,0,0.0
BPR176,False,0,0,1.0
BPR177,False,0,0,1.0
BPR180,False,1,0,1.0
BPR182,False,0,0,4.0
BPR183,False,0,0,1.0
BPR184,False,0,0,0.0
BPR185,False,0,0,2.0
BPR187,False,1,0,1.0
BPR188,False,0,0,1.0
BPR189,False,0,0,1.0
BPR192,False,0,0,4.0
BPR193,False,0,0,1.0
BPR194,False,0,0,2.0
BPR195,False,1,0,3.0
BPR197,False,1,0,0.0
BPR203A,False,1,0,1.0
BPR204C,False,0,0,3.0
BPR204D,False,0,0,3.0
BPR208A,False,1,0,1.0
BPR208B,False,1,0,1.0
BPR208C,False,1,0,1.0
BPR51,False,1,0,0.0
BPR6,False,0,0,2.0
BTR1,False,1,0,0.0
BTR10,False,0,0,2.0
BTR106,False,1,0,2.0
BTR11,False,0,0,0.0
BTR114,False,1,0,0.0
BTR121,False,1,0,4.0
BTR124,False,0,0,0.0
BTR13,False,0,0,0.0
BTR132,False,1,0,2.0
BTR14,False,1,0,2.0
BTR142,False,0,0,4.0
BTR146,False,1,0,4.0
BTR15,False,1,0,0.0
BTR153,False,1,0,4.0
BTR155,False,0,0,4.0
BTR157,False,1,0,1.0
BTR158,False,0,0,4.0
BTR16,False,1,0,0.0
BTR160,False,0,0,4.0
BTR162,False,1,0,4.0
BTR163,False,0,0,1.0
BTR164,False,0,0,4.0
BTR167,False,0,0,0.0
BTR168,False,0,0,4.0
BTR17,False,0,0,0.0
BTR170,False,0,0,0.0
BTR171,False,1,0,2.0
BTR175,False,1,0,1.0
BTR18,False,0,0,4.0
BTR181,False,1,0,2.0
BTR188,False,1,0,2.0
BTR19,False,1,0,1.0
BTR190,False,1,0,2.0
BTR193A,False,1,0,4.0
BTR193B,False,0,0,4.0
BTR193C,False,1,0,4.0
BTR193D,False,1,0,4.0
BTR193F,False,0,0,4.0
BTR194B,False,1,0,4.0
BTR194C,False,0,0,4.0
BTR194D,False,0,0,4.0
BTR194E,False,0,0,4.0
BTR194F,False,0,0,4.0
BTR195A,False,1,0,0.0
BTR195B,False,0,0,0.0
BTR195C,False,0,0,0.0
BTR196,False,0,0,0.0
BTR197A,False,1,0,2.0
BTR197B,False,0,0,2.0
BTR197C,False,1,0,2.0
BTR198,False,1,0,4.0
BTR198A,False,0,0,2.0
BTR198B,False,0,0,2.0
BTR199B,False,1,0,0.0
BTR199C,False,0,0,0.0
BTR199D,False,1,0,0.0
BTR199E,False,1,0,4.0
BTR2,False,0,0,2.0
BTR20,False,0,0,2.0
BTR200A,False,1,0,0.0
BTR200C,False,0,0,0.0
BTR201,False,0,0,4.0
BTR201A,False,0,0,4.0
BTR201B,False,0,0,4.0
BTR201C,False,0,0,4.0
BTR201D,False,0,0,4.0
BTR202B,False,0,0,0.0
BTR203A,False,1,0,0.0
BTR203B,False,0,0,0.0
BTR203C,False,0,0,0.0
BTR204A,False,1,0,0.0
BTR204B,False,1,0,0.0
BTR204C,False,1,0,0.0
